mall_id,name,region,operator,lat,lon,A_dining_count,A_dining_score,B_fitness_count,B_fitness_score,C_engagement_count,C_engagement_score,D_healthcare_count,D_healthcare_score,E_infra_count,E_infra_score,F_partnership_score,pop_catchment,senior_pop_catchment,reach_population_score,mrt_count,bus_count,accessibility_score,engagement_gap_score
85,Jurong Point,West,Unknown,1.334844874712597,103.7204620242775,60,28.985507246376812,0,0.0,1,50.0,8,47.05882352941176,0,0.0,0.0,40990.0,5140.0,18.528874661693223,3,11,25.73900504686373,50.0
86,Lot 1,Central,Unknown,1.315735793533668,103.8915604670403,3,1.4492753623188406,0,0.0,0,0.0,1,5.88235294117647,9,1.8907563025210083,0.0,69910.0,13730.0,36.340910941747254,13,11,32.58832011535688,100.0
87,Pioneer Mall,West,Unknown,1.341650627650517,103.6971292926576,4,1.932367149758454,0,0.0,0,0.0,4,23.52941176470588,18,3.7815126050420167,0.0,131300.0,14920.0,57.87731979899746,8,19,50.21629416005768,100.0
88,Queensway Shopping Centre,Central,Unknown,1.287595189398704,103.8033972877883,3,1.4492753623188406,0,0.0,0,0.0,1,5.88235294117647,2,0.42016806722689076,0.0,35870.0,7800.0,19.367257811783507,4,7,15.897620764239365,100.0
89,The Clementi Mall,West,Unknown,1.314896196393653,103.764423054189,24,11.594202898550725,0,0.0,0,0.0,8,47.05882352941176,0,0.0,0.0,49680.0,10420.0,26.457978041656098,4,12,29.05551550108147,100.0
90,The Rail Mall,West,Unknown,1.35781103484491,103.7680806329584,8,3.864734299516908,0,0.0,0,0.0,0,0.0,13,2.73109243697479,0.0,19300.0,2540.0,8.838688953880588,4,8,18.529199711607784,100.0
91,The Star Vista,Central,Unknown,1.306970440383233,103.7884202741146,11,5.314009661835748,0,0.0,0,0.0,2,11.76470588235294,20,4.201680672268908,0.0,66380.0,14660.0,36.0558445465167,13,7,22.0620043258832,100.0
92,West Coast Plaza,West,Unknown,1.303624575279406,103.7658583869225,21,10.144927536231885,0,0.0,1,50.0,2,11.76470588235294,16,3.361344537815126,0.0,45260.0,9410.0,24.02483703936604,2,7,14.527757750540735,50.0
93,Westgate,West,Unknown,1.334157675568678,103.7427664844237,51,24.637681159420293,0,0.0,0,0.0,3,17.647058823529413,2,0.42016806722689076,0.0,39820.0,7360.0,20.259747080321688,4,9,21.160778658976206,100.0
94,West Mall,West,Unknown,1.350021075943163,103.7492164938305,207,100.0,0,0.0,2,100.0,17,100.0,9,1.8907563025210083,0.0,87740.0,11870.0,40.48996611530827,8,11,29.16366258111031,0.0
95,111 Somerset,Central,Unknown,1.30020625685961,103.8373171327961,16,7.729468599033816,0,0.0,0,0.0,3,17.647058823529413,8,1.680672268907563,0.0,20740.0,2550.0,9.326755882605791,32,5,29.812545061283345,100.0
96,600 @ Toa Payoh,Central,Unknown,1.334036238944651,103.8509777064745,2,0.966183574879227,0,0.0,2,100.0,6,35.294117647058826,26,5.46218487394958,0.0,110400.0,22900.0,58.551500818221555,7,18,46.89978370583994,0.0
97,Anchorpoint,Central,Unknown,1.288614690305858,103.8050099645917,11,5.314009661835748,0,0.0,0,0.0,1,5.88235294117647,0,0.0,0.0,51960.0,10280.0,27.081960099555452,4,11,26.423936553713048,100.0
98,Beauty World Centre,Central,Unknown,1.342412641886426,103.7765393854061,5,2.4154589371980677,1,14.285714285714285,0,0.0,1,5.88235294117647,24,5.042016806722689,0.0,25720.0,4520.0,12.862601178523084,5,8,19.2141312184571,100.0
99,Beauty World Plaza,Central,Unknown,1.34180018619223,103.7762593598538,5,2.4154589371980677,1,14.285714285714285,0,0.0,1,5.88235294117647,16,3.361344537815126,0.0,25720.0,4520.0,12.862601178523084,5,10,24.47728911319394,100.0
100,Bukit Timah Shopping Centre,West,Unknown,1.343164753416988,103.7760313543784,38,18.357487922705314,0,0.0,0,0.0,5,29.411764705882355,18,3.7815126050420167,0.0,25720.0,4520.0,12.862601178523084,4,6,13.266041816870944,100.0
101,"Capitol Building, Singapore",Central,Unknown,1.293541435570915,103.8515692867832,14,6.763285024154589,1,14.285714285714285,0,0.0,2,11.76470588235294,36,7.563025210084033,0.0,8150.0,1800.0,4.426934424275261,53,14,67.88031723143474,100.0
103,Capitol Singapore,Central,Unknown,1.292987753822214,103.8510468298429,0,0.0,0,0.0,0,0.0,0,0.0,47,9.873949579831933,0.0,8140.0,1800.0,4.42361137656579,60,15,75.30641672674838,100.0
104,The Cathay,Central,Unknown,1.2992060914543,103.8478268172409,9,4.3478260869565215,2,28.57142857142857,0,0.0,0,0.0,235,49.36974789915966,0.0,12630.0,2560.0,6.641312248786491,53,10,57.35400144196106,100.0
106,Clementi Mall,West,Unknown,1.314896196393653,103.764423054189,46,22.22222222222222,0,0.0,0,0.0,10,58.82352941176471,0,0.0,0.0,49680.0,10420.0,26.457978041656098,4,12,29.05551550108147,100.0
107,The Concourse,Central,Unknown,1.301047422574273,103.8626261106681,5,2.4154589371980677,0,0.0,1,50.0,1,5.88235294117647,22,4.621848739495799,0.0,26460.0,6750.0,15.237723768221878,25,10,38.17591925018024,50.0
108,Delfi Orchard,Central,Unknown,1.307178872984664,103.8284699943235,3,1.4492753623188406,2,28.57142857142857,0,0.0,0,0.0,0,0.0,0.0,26680.0,3860.0,12.551441893578165,17,5,19.53857245854362,100.0
111,Far East Shopping Centre,Central,Unknown,1.305506107489141,103.8299848220137,20,9.66183574879227,4,57.14285714285714,0,0.0,6,35.294117647058826,0,0.0,0.0,29940.0,4220.0,13.97848555507694,24,9,34.85940879596251,100.0
112,Forum The Shopping Mall,Central,Unknown,1.306097521645643,103.8286785560409,4,1.932367149758454,4,57.14285714285714,0,0.0,1,5.88235294117647,0,0.0,0.0,29550.0,4190.0,13.820242518723305,18,6,22.855082912761354,100.0
113,Fu Lu Shou Complex,Central,Unknown,1.301512585719199,103.854497235401,3,1.4492753623188406,1,14.285714285714285,0,0.0,0,0.0,0,0.0,0.0,32840.0,7800.0,18.36037435581389,54,17,76.45998558038933,100.0
114,"Funan, Singapore",Central,Unknown,1.291612706051295,103.8494788502519,24,11.594202898550725,0,0.0,0,0.0,2,11.76470588235294,63,13.23529411764706,0.0,9630.0,2060.0,5.166995007873994,57,15,73.25162220620044,100.0
117,Goldhill Plaza,Central,Unknown,1.31783165436361,103.8434865667405,10,4.830917874396135,2,28.57142857142857,0,0.0,2,11.76470588235294,8,1.680672268907563,0.0,25320.0,4140.0,12.366853044810075,5,8,19.2141312184571,100.0
119,GV Yishun,North,Golden Village,1.429915542023897,103.8364733961239,25,12.077294685990339,0,0.0,2,100.0,1,5.88235294117647,10,2.100840336134454,0.0,145200.0,19110.0,66.49699265239914,5,10,24.47728911319394,0.0
120,HarbourFront Centre,Central,Mapletree Investments,1.263775661432495,103.818562209388,51,24.637681159420293,2,28.57142857142857,0,0.0,7,41.17647058823529,2,0.42016806722689076,0.0,15770.0,3800.0,8.868708491177092,6,3,6.74116798846431,100.0
121,Holland Road Shopping Centre,Central,Unknown,1.310277475741183,103.7953711631031,10,4.830917874396135,0,0.0,1,50.0,6,35.294117647058826,0,0.0,0.0,51280.0,12280.0,28.76560456759661,11,9,25.95529920692141,50.0
122,IMM (Singapore),Central,CapitaLand Integrated Commercial Trust,1.306638973875783,103.7824128667116,12,5.797101449275362,0,0.0,1,50.0,0,0.0,0,0.0,0.0,36050.0,7390.0,19.035602269535516,10,9,25.270367700072097,50.0
125,Lot One,West,CapitaMall Trust,1.385069923256194,103.7452388682375,32,15.458937198067632,0,0.0,1,50.0,5,29.411764705882355,50,10.504201680672269,80.0,151680.0,16180.0,65.85274640963837,11,11,31.218457101658252,50.0
127,"Nex, Singapore",Central,Unknown,1.320803832320556,103.8787293921758,24,11.594202898550725,0,0.0,0,0.0,2,11.76470588235294,2,0.42016806722689076,0.0,91450.0,18660.0,48.205948578730045,7,10,25.84715212689257,100.0
128,One Raffles Place,Central,Unknown,1.284349546223077,103.8510725458335,28,13.526570048309178,7,100.0,0,0.0,8,47.05882352941176,65,13.655462184873949,0.0,14410.0,2840.0,7.500160380792197,73,8,65.78947368421052,100.0
130,Orchard Towers,Central,Unknown,1.306977965543302,103.8292141386793,4,1.932367149758454,4,57.14285714285714,0,0.0,2,11.76470588235294,0,0.0,0.0,29800.0,4210.0,13.922414828582923,19,4,18.27685652487383,100.0
