mall_id,name,region,operator,lat,lon,postal_code,address
100,Bukit Timah Shopping Centre,Unknown,Unknown,1.343164753416988,103.7760313543784,588179,170 UPPER BUKIT TIMAH ROAD BUKIT TIMAH SHOPPING CENTRE SINGAPORE 588179
101,"Capitol Building, Singapore",Unknown,Unknown,1.293541435570915,103.8515692867832,,15 STAMFORD ROAD CAPITOL BUILDING SINGAPORE
103,Capitol Singapore,Unknown,Unknown,1.292987753822214,103.8510468298429,178884,11 STAMFORD ROAD EDEN RESIDENCES CAPITOL SINGAPORE 178884
104,The Cathay,Unknown,Unknown,1.2992060914543,103.8478268172409,229233,2 HANDY ROAD THE CATHAY SINGAPORE 229233
106,Clementi Mall,Unknown,Unknown,1.314896196393653,103.764423054189,129588,3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588
107,The Concourse,Unknown,Unknown,1.301047422574273,103.8626261106681,199555,300 BEACH ROAD THE CONCOURSE SINGAPORE 199555
108,Delfi Orchard,Unknown,Unknown,1.307178872984664,103.8284699943235,238876,402 ORCHARD ROAD DELFI ORCHARD SINGAPORE 238876
111,Far East Shopping Centre,Unknown,Unknown,1.305506107489141,103.8299848220137,238882,545 ORCHARD ROAD FAR EAST SHOPPING CENTRE SINGAPORE 238882
112,Forum The Shopping Mall,Unknown,Unknown,1.306097521645643,103.8286785560409,238884,583 ORCHARD ROAD FORUM THE SHOPPING MALL SINGAPORE 238884
113,Fu Lu Shou Complex,Unknown,Unknown,1.301512585719199,103.854497235401,188425,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425
114,"Funan, Singapore",Unknown,Unknown,1.291612706051295,103.8494788502519,179370,67 HILL STREET LYF FUNAN SINGAPORE SINGAPORE 179370
117,Goldhill Plaza,Unknown,Unknown,1.31783165436361,103.8434865667405,,GOLDHILL PLAZA
119,GV Yishun,Unknown,Golden Village,1.429915542023897,103.8364733961239,,51 YISHUN CENTRAL 1 GOLDEN VILLAGE (GV YISHUN)
120,HarbourFront Centre,Unknown,Mapletree Investments,1.263775661432495,103.818562209388,,5 HARBOURFRONT AVENUE HARBOURFRONT CENTRE CHECKPOINT
121,Holland Road Shopping Centre,Unknown,Unknown,1.310277475741183,103.7953711631031,278967,211 HOLLAND AVENUE HOLLAND ROAD SHOPPING CENTRE SINGAPORE 278967
122,IMM (Singapore),Unknown,CapitaLand Integrated Commercial Trust,1.306638973875783,103.7824128667116,,30 DOVER AVENUE IMMANUEL CONGREGATION (SINGAPORE)
125,Lot One,Unknown,CapitaMall Trust,1.385069923256194,103.7452388682375,,21 CHOA CHU KANG AVENUE 4 SHAW THEATRES LOT ONE
127,"Nex, Singapore",Unknown,Unknown,1.320803832320556,103.8787293921758,387293,1 ALJUNIED WALK NEXUS INTERNATIONAL SCHOOL (SINGAPORE) SINGAPORE 387293
128,One Raffles Place,Unknown,Unknown,1.284349546223077,103.8510725458335,048616,1 RAFFLES PLACE ONE RAFFLES PLACE SINGAPORE 048616
130,Orchard Towers,Unknown,Unknown,1.306977965543302,103.8292141386793,238875,400 ORCHARD ROAD ORCHARD TOWERS SINGAPORE 238875
132,Raffles City Shopping Centre,Unknown,Unknown,1.293893578633135,103.8531199046559,,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE
133,Riverside Point,Unknown,Unknown,1.289292505294204,103.8441676190972,058282,30 MERCHANT ROAD RIVERSIDE POINT SINGAPORE 058282
